model,split,batch_size,lr,epochs,test_mae,test_mse,test_rmse,test_r2
resnet18,identity,32,0.0001,,5.263632297515869,48.30617904663086,6.9502644538879395,0.6102081537246704
resnet34,random,16,1e-05,,5.282235145568848,46.9754524230957,6.8538641929626465,0.6972744464874268
resnet50,identity,16,1e-05,,5.320501804351807,50.98844528198242,7.140619277954102,0.588564395904541
resnet18,random,32,0.0001,,5.324611663818359,52.54935836791992,7.249093532562256,0.6613543629646301
resnet50,random,32,1e-05,,5.658115386962891,54.1019287109375,7.355401515960693,0.6513490676879883
resnet50,random,16,1e-05,,5.910831451416016,59.23871612548828,7.696669101715088,0.6182458996772766
resnet50,identity,32,1e-05,,6.051479339599609,59.751399993896484,7.729902744293213,0.5178544521331787
resnet34,identity,32,1e-05,,6.177495956420898,59.892059326171875,7.7389960289001465,0.516719400882721
mobilenet,random,16,1e-05,,6.464302062988281,70.34783935546875,8.387361526489258,0.546654999256134
mobilenet,random,16,1e-05,,6.48595666885376,71.57737731933594,8.460341453552246,0.5387314558029175
resnet50,random,32,1e-05,,6.593719482421875,70.79579162597656,8.414023399353027,0.5437682271003723
efficientnet,identity,16,1e-05,,6.621518611907959,76.45905303955078,8.744087219238281,0.38303714990615845
resnet34,random,16,1e-05,,6.823869228363037,75.7225570678711,8.701870918273926,0.5120185613632202
mobilenet,identity,16,1e-05,,6.853046417236328,75.90949249267578,8.712605476379395,0.38747167587280273
mobilenet,identity,16,1e-05,,6.85752534866333,74.86157989501953,8.65225887298584,0.3959274888038635
efficientnet,identity,16,1e-05,,6.999350547790527,82.22785186767578,9.067957878112793,0.33648765087127686
mobilenet,identity,32,1e-05,,7.146703243255615,80.28776550292969,8.960344314575195,0.3521425127983093
mobilenet,random,32,1e-05,,7.353878498077393,85.3896713256836,9.240653038024902,0.4497203826904297
resnet34,random,32,1e-05,,7.41485071182251,80.19168090820312,8.954980850219727,0.4832180142402649
efficientnet,random,32,1e-05,,7.876039505004883,98.3575439453125,9.917536735534668,0.36615103483200073
resnet50,identity,32,1e-05,,7.892049312591553,88.86988067626953,9.427082061767578,0.28289175033569336
efficientnet,random,16,1e-05,,7.9961676597595215,99.68907928466797,9.984441757202148,0.3575701117515564
resnet34,identity,16,1e-05,,8.037555694580078,90.55410766601562,9.515992164611816,0.2693014144897461
resnet18,identity,16,1e-05,,8.23896312713623,96.14228057861328,9.805216789245605,0.22420936822891235
resnet34,identity,16,1e-05,,8.314309120178223,96.9630355834961,9.846981048583984,0.21758657693862915
resnet34,identity,16,1e-05,,8.334031105041504,95.54974365234375,9.774954795837402,0.22899067401885986
resnet34,random,16,1e-05,,8.34122371673584,100.8666000366211,10.04323673248291,0.34998178482055664
efficientnet,identity,32,1e-05,,8.708002090454102,119.80037689208984,10.945335388183594,0.03330761194229126
resnet50,random,32,1e-05,,8.71058177947998,111.20747375488281,10.54549503326416,0.28334176540374756
resnet18,random,16,1e-05,,8.806880950927734,110.19398498535156,10.497332572937012,0.28987306356430054
resnet18,identity,32,1e-05,,8.848478317260742,107.91393280029297,10.388163566589355,0.1292216181755066
resnet18,identity,16,1e-05,,8.980169296264648,121.48284149169922,11.021925926208496,0.01973140239715576
resnet18,random,32,1e-05,,9.031933784484863,113.63811492919922,10.660118103027344,0.2676779627799988
resnet34,identity,32,1e-05,,9.104164123535156,114.09803009033203,10.681668281555176,0.07932102680206299
efficientnet,identity,16,1e-05,,9.171855926513672,133.18283081054688,11.540486335754395,-0.07467794418334961
mobilenet,random,32,1e-05,,9.2095308303833,126.85775756835938,11.263114929199219,0.1824861764907837
mobilenet,random,16,1e-05,,9.287351608276367,126.25202178955078,11.23619270324707,0.1863897442817688
efficientnet,identity,32,1e-05,,9.331095695495605,139.5868682861328,11.814688682556152,-0.12635338306427002
efficientnet,random,16,1e-05,,9.3475980758667,135.12371826171875,11.624272346496582,0.12921756505966187
resnet34,random,32,1e-05,,9.502199172973633,121.50138854980469,11.022767066955566,0.21700435876846313
mobilenet,identity,16,1e-05,,9.718668937683105,130.75088500976562,11.434635162353516,-0.0550541877746582
